CarNumber,Refund,Fines,Make,Model,Year
Y973O8197RUS,2,8594.5864661654,Ford,Focus,2014
97977H178RUS,1,1000.0,Ford,Focus,1988
H917TC36RUS,2,4000.0,Ford,Focus,2016
X786CO96RUS,1,1000.0,Ford,Focus,1989
Y7709C197RUS,1,500.0,Ford,Focus,2013
8513XX154RUS,1,1500.0,Ford,Focus,1998
T870X7163RUS,2,2000.0,Skoda,Octavia,1992
8818C877RUS,1,2500.0,Volkswagen,Passat,1988
T395OT197RUS,2,8594.5864661654,Volkswagen,Touareg,2007
K327T8197RUS,2,20800.0,Volkswagen,Golf,1988
8311XX154RUS,2,8600.0,Ford,Focus,1989
X423MK197RUS,2,14300.0,Ford,Focus,2011
96429X178RUS,1,2600.0,Ford,Focus,1985
O275O7161RUS,2,16600.0,Ford,Focus,2000
7789KT197RUS,2,12600.0,Ford,Focus,2010
E28877161RUS,1,1000.0,Ford,Focus,2018
T6068M116RUS,1,1000.0,Ford,Focus,1984
9498KX178RUS,2,1600.0,Ford,Focus,2017
99209X178RUS,1,500.0,Skoda,Octavia,2013
T6449O50RUS,2,8594.5864661654,Ford,Focus,2013
9683EC178RUS,2,26000.0,Ford,Focus,1989
Y353O8197RUS,2,21800.0,Ford,Focus,2009
O719MM163RUS,2,2300.0,Ford,Focus,2010
E535MM199RUS,1,500.0,Volkswagen,Touareg,1990
Y352O8197RUS,2,103600.0,Ford,Focus,2004
7788KT197RUS,2,12000.0,Ford,Focus,1990
E807HE77RUS,2,4500.0,Ford,Focus,2001
M516CH161RUS,1,1000.0,Ford,Focus,2007
89587X197RUS,1,8594.5864661654,Toyota,Camry,2017
7781KT197RUS,2,600.0,Ford,Focus,2005
E645TH36RUS,1,2400.0,Ford,Focus,2002
Y302E877RUS,1,500.0,Ford,Focus,2016
M058XE36RUS,2,8500.0,Skoda,Octavia,2009
7830C8197RUS,1,5100.0,Ford,Focus,2013
8166XX154RUS,1,2400.0,Ford,Focus,2001
M589CH197RUS,2,7900.0,Volkswagen,,1997
9408H7178RUS,1,1000.0,Skoda,Octavia,2015
H387TM197RUS,2,1600.0,Volkswagen,Passat,2002
8049HT125RUS,1,500.0,Ford,Focus,1994
9698MO178RUS,2,18400.0,Volkswagen,Golf,2015
8685HE154RUS,1,1000.0,Ford,Focus,2016
7177TT36RUS,1,1000.0,Ford,Focus,2010
O77997197RUS,1,22400.0,Ford,Focus,1992
Y234E877RUS,1,8594.5864661654,Ford,Focus,2011
97987H178RUS,2,5000.0,Ford,Focus,1990
X257HE161RUS,2,10000.0,Ford,Focus,2003
T399KX197RUS,2,10200.0,Ford,Focus,1985
H957HY161RUS,1,2000.0,Ford,Focus,2015
K379HY161RUS,1,200.0,Volkswagen,Golf,2009
T654HT96RUS,1,4000.0,Toyota,Corolla,2002
8439XX154RUS,2,4600.0,Ford,Focus,2008
Y965EE197RUS,2,9600.0,Ford,Focus,2011
X758HY197RUS,2,24200.0,Ford,Focus,1991
M0279X197RUS,2,180000.0,Ford,Focus,2012
H224X836RUS,1,3500.0,Ford,Focus,2011
E6849O154RUS,1,200.0,Volkswagen,Golf,2005
O83797197RUS,2,75900.0,Ford,Focus,2013
9402KK197RUS,2,8594.5864661654,Toyota,Camry,2007
7368C8197RUS,1,4400.0,Ford,Focus,2002
H427YH197RUS,2,29700.0,Volkswagen,Passat,1983
9583EY178RUS,2,4300.0,Ford,Focus,2011
Y038E877RUS,2,6500.0,Ford,Focus,2011
9822H8161RUS,1,100.0,Ford,Focus,2008
7826C8197RUS,2,3600.0,Ford,Focus,1989
E160YX77RUS,2,2200.0,Ford,Focus,1995
82337X197RUS,2,2100.0,Ford,Focus,2007
X757HY197RUS,2,6800.0,Ford,Focus,2005
X765HY197RUS,2,13900.0,Ford,Focus,1987
934497178RUS,2,1900.0,Skoda,Octavia,2002
K2807K154RUS,1,1000.0,Ford,Focus,2012
T8008Y125RUS,2,1000.0,Ford,Focus,1982
X765HY197RUS,2,27800.0,Ford,Focus,1991
Y960EE197RUS,1,8594.5864661654,Skoda,Octavia,2011
7840C8197RUS,2,7000.0,Ford,Focus,1986
K846YE77RUS,2,2000.0,Volkswagen,Passat,1998
E40577152RUS,1,500.0,Ford,Focus,2005
7827C8197RUS,1,7500.0,Ford,Focus,1991
Y655E8750RUS,2,5200.0,Skoda,Octavia,2005
H003MH197RUS,2,2900.0,Ford,Focus,1993
Y7699C197RUS,2,15800.0,Ford,Focus,1985
Y8399C197RUS,2,1800.0,Ford,Focus,2002
9135X938RUS,2,4400.0,Ford,Focus,1994
H385TM197RUS,1,9500.0,Volkswagen,Passat,2015
9428EX178RUS,1,1000.0,Ford,Focus,1981
H837YK197RUS,2,4200.0,Audi,,1993
O83597197RUS,2,4000.0,Ford,Focus,1980
E42577152RUS,2,8594.5864661654,Ford,Focus,2006
E53277152RUS,1,1000.0,Ford,Focus,2001
C476M7161RUS,2,1500.0,Ford,Focus,1998
9943KK197RUS,2,29700.0,Ford,Focus,1996
8165XX154RUS,1,4900.0,Ford,Focus,2014
T476KX197RUS,1,1500.0,Ford,Focus,1996
C422X938RUS,2,10500.0,Ford,Focus,1984
K328T8197RUS,1,300.0,Volkswagen,Golf,1999
9466EX178RUS,2,800.0,Ford,Focus,2009
X256HE161RUS,1,2400.0,Ford,Focus,2000
Y275O8197RUS,1,8594.5864661654,Ford,Focus,2018
8165XX154RUS,2,4200.0,Ford,Focus,2015
E432XX77RUS,2,13000.0,Toyota,Camry,2019
7830C8197RUS,2,10200.0,Ford,Focus,1993
H217X836RUS,1,2000.0,Ford,Focus,2010
Y316E877RUS,2,7000.0,Ford,Focus,2012
934497178RUS,1,3800.0,Skoda,Octavia,1998
O77997197RUS,2,8594.5864661654,Ford,Focus,2017
8601XX154RUS,1,1300.0,Skoda,Octavia,1986
M741T9152RUS,2,1000.0,Ford,Focus,1982
9883HX152RUS,2,1000.0,Ford,Focus,1999
Y6829Y50RUS,1,500.0,Ford,Focus,2011
H004MH197RUS,1,39600.0,Ford,Focus,2014
704987163RUS,2,8594.5864661654,Ford,Focus,2008
E160YX77RUS,2,1100.0,Ford,Focus,2008
E316EH197RUS,1,1300.0,Volkswagen,,1992
X758HY197RUS,2,72600.0,Ford,Focus,1993
O22297197RUS,1,500.0,Ford,Focus,1996
O02597197RUS,1,800.0,Ford,Focus,2015
X015HY197RUS,2,16000.0,Toyota,Corolla,1995
T769OT197RUS,2,30900.0,Volkswagen,Golf,1995
Y778EE197RUS,1,24000.0,Volkswagen,Golf,1996
7829C8197RUS,2,1800.0,Ford,Focus,2007
T272HH163RUS,1,1000.0,Ford,Focus,1992
T018OX197RUS,2,3400.0,Toyota,Corolla,2013
Y255E877RUS,1,2500.0,Ford,Focus,2019
9182CE154RUS,2,13200.0,Ford,Focus,1986
9697MO178RUS,1,1000.0,Volkswagen,Golf,1993
C477M7161RUS,2,5000.0,Ford,Focus,1982
T686EO197RUS,1,500.0,Toyota,Camry,1988
C590EY154RUS,2,8594.5864661654,Ford,Focus,2003
T941CC96RUS,1,2000.0,Ford,Focus,2002
O22397197RUS,2,55500.0,Ford,Focus,2013
X242EC197RUS,2,10600.0,Volkswagen,Golf,1989
T020OX197RUS,1,34300.0,Toyota,Corolla,1999
E33577152RUS,2,2000.0,Ford,Focus,2012
Y973O8197RUS,1,34800.0,Ford,Focus,1980
E773EH197RUS,2,6800.0,Ford,Focus,1984
T6428M116RUS,2,6000.0,Ford,Focus,1992
Y7129Y50RUS,2,32000.0,Ford,Focus,1988
Y418EX197RUS,2,900.0,Volkswagen,Passat,1994
Y7689C197RUS,1,27000.0,Ford,Focus,2000
7066C8197RUS,1,3000.0,Volkswagen,Passat,1999
E52877152RUS,1,1500.0,Ford,Focus,2000
7369C8197RUS,2,8594.5864661654,Ford,Focus,2012
Y166O8161RUS,1,100.0,Ford,Focus,1998
705287163RUS,2,2000.0,Ford,Focus,2000
K559KC161RUS,1,100.0,Ford,Focus,2018
M0299X197RUS,2,67200.0,Ford,Focus,2007
92928M178RUS,1,600.0,Ford,Focus,2002
9822H8161RUS,1,200.0,Ford,Focus,2012
8603T8154RUS,1,3000.0,Ford,Focus,1990
84418C154RUS,1,3000.0,Ford,Focus,1982
E53488152RUS,2,1800.0,Ford,Focus,2004
9697MO178RUS,1,500.0,Volkswagen,Golf,2013
Y7709C197RUS,1,1500.0,Ford,Focus,2005
90159H178RUS,2,600.0,Volkswagen,Passat,1999
C798ET50RUS,1,10000.0,Ford,Focus,2003
Y193O8161RUS,2,600.0,Ford,Focus,2017
7248C8197RUS,2,8600.0,Ford,Mondeo,2016
Y275O8197RUS,1,6000.0,Ford,Focus,1992
K357YE77RUS,1,5000.0,Volkswagen,Golf,1981
9697MO178RUS,1,8594.5864661654,Volkswagen,Golf,2013
E0697X152RUS,1,2000.0,Skoda,Octavia,1994
E40877152RUS,1,1000.0,Ford,Focus,1991
Y351O8197RUS,1,1500.0,Ford,Focus,2006
Y356O8197RUS,2,45900.0,Ford,Focus,1990
O6939X163RUS,1,7200.0,Ford,Focus,1988
Y7649C197RUS,2,5300.0,Ford,Focus,2008
9935TE152RUS,2,2500.0,Ford,Focus,1985
704687163RUS,2,1400.0,Ford,Focus,1992
7197TT36RUS,2,6800.0,Ford,Focus,2000
X765HY197RUS,2,41700.0,Ford,Focus,1997
H115YO163RUS,1,8594.5864661654,Ford,Focus,1988
O143HO197RUS,2,30300.0,Toyota,Corolla,2008
K436MO152RUS,1,1500.0,Ford,Focus,1991
9938OH154RUS,1,500.0,Skoda,Octavia,1987
E34877152RUS,2,6100.0,Ford,Focus,1982
E5878M777RUS,1,8500.0,Skoda,Octavia,1982
E33577152RUS,1,1000.0,Ford,Focus,2004
7844C8197RUS,2,34000.0,Ford,Focus,1988
X256HE161RUS,2,800.0,Ford,Focus,2019
C584EY154RUS,1,500.0,Ford,Focus,1989
E28977161RUS,2,1500.0,Ford,Focus,1996
T016OX197RUS,2,3200.0,Toyota,Corolla,2000
H889YK197RUS,2,10600.0,Ford,Focus,2004
7363C8197RUS,2,1600.0,Ford,Focus,2001
T6039O50RUS,2,1500.0,Ford,Focus,2016
7365C8197RUS,1,2300.0,Ford,Focus,1990
Y967O8197RUS,1,4000.0,Ford,Focus,1996
E816HE77RUS,1,3000.0,Ford,Focus,1990
T6329O50RUS,1,500.0,Ford,Focus,1992
X504X8197RUS,1,8594.5864661654,Skoda,Octavia,1989
M581CH197RUS,1,200.0,Ford,Focus,1995
X523OM161RUS,2,800.0,Ford,Focus,2016
C412X938RUS,1,1000.0,Ford,Focus,1990
7831C8197RUS,2,3400.0,Ford,Focus,1989
8164XX154RUS,2,4400.0,Ford,Focus,2009
H004MH197RUS,2,9900.0,Ford,Focus,1989
X015HY197RUS,2,24000.0,Toyota,Corolla,2013
T6419O50RUS,2,9000.0,Ford,Focus,2003
E822TH36RUS,2,12900.0,Ford,Focus,2017
8437XX154RUS,1,8594.5864661654,Ford,Focus,2013
E445TC197RUS,1,3400.0,Ford,Focus,1981
C515X938RUS,1,1900.0,Ford,Focus,1992
7172TT36RUS,2,5700.0,Ford,Focus,2018
8436XX154RUS,1,800.0,Ford,Focus,2003
E79988152RUS,1,500.0,Ford,Focus,1984
8180XX154RUS,1,2800.0,Ford,Focus,1982
84438C154RUS,2,3800.0,Ford,Focus,2016
T6309O50RUS,2,24000.0,Ford,Focus,2007
T6129O50RUS,2,6000.0,Ford,Focus,1999
K339T8197RUS,2,19200.0,Ford,Focus,1984
8685HE154RUS,1,2000.0,Ford,Focus,1990
X782CO96RUS,1,8594.5864661654,Ford,Focus,2013
E591HE77RUS,2,6000.0,Ford,Focus,2014
89587X197RUS,1,4400.0,Toyota,Camry,2016
9499KX178RUS,1,2300.0,Ford,Focus,1994
8818C877RUS,1,5000.0,Volkswagen,Passat,1994
Y357O8197RUS,1,2200.0,Ford,Focus,2008
Y652O8197RUS,1,5800.0,Volkswagen,Touareg,1998
X767HY197RUS,2,18000.0,Ford,Focus,1983
H220X836RUS,1,7000.0,Ford,Focus,1995
H218X836RUS,2,17500.0,Ford,Focus,2012
T913CT197RUS,1,7900.0,Toyota,Camry,1994
T6439O50RUS,2,16500.0,Ford,Focus,2005
7784KT197RUS,2,13200.0,Ford,Focus,1993
X286TC36RUS,2,8594.5864661654,Ford,Focus,1999
O752MX161RUS,1,1300.0,Ford,Focus,2004
Y7449Y50RUS,1,8000.0,Ford,Focus,2012
H115YO163RUS,2,1100.0,Ford,Focus,1986
8818C877RUS,2,10000.0,Volkswagen,Passat,2007
92828M178RUS,1,300.0,Ford,Focus,1997
Y650E8750RUS,1,500.0,Skoda,Octavia,1982
X767HY197RUS,2,36000.0,Ford,Focus,2008
9498KX178RUS,2,800.0,Ford,Focus,2015
83298C154RUS,1,100.0,Ford,Focus,2012
8321XX154RUS,1,100.0,Ford,Focus,2005
8316XX154RUS,1,2200.0,Ford,Focus,2007
T017OX197RUS,2,12700.0,Toyota,Corolla,2007
H977HY161RUS,1,8594.5864661654,Ford,Focus,2013
7788KT197RUS,2,8594.5864661654,Ford,Focus,2008
X522OM161RUS,1,1500.0,Ford,Focus,2006
O085E8197RUS,1,300.0,Volkswagen,Golf,2007
8166XX154RUS,1,600.0,Ford,Focus,2004
705387163RUS,2,700.0,Ford,Focus,2019
O017KO197RUS,1,800.0,Ford,Focus,2000
X4138H125RUS,1,300.0,Ford,Focus,1992
8441XX154RUS,1,500.0,Ford,Focus,2017
M0269X197RUS,2,8594.5864661654,Ford,Focus,2003
7781KT197RUS,1,1200.0,Ford,Focus,1986
T483CT96RUS,1,500.0,Ford,Focus,1993
T940CC96RUS,2,1500.0,Ford,Focus,2007
C58078163RUS,1,100.0,Ford,Focus,1993
O02397197RUS,1,4000.0,Volkswagen,Jetta,1986
T018OX197RUS,2,6800.0,Toyota,Corolla,1983
H963HY161RUS,1,1400.0,Ford,Focus,1989
8611T8154RUS,2,2000.0,Ford,Focus,1987
704787163RUS,2,2800.0,Ford,Focus,1988
E53488152RUS,2,3600.0,Ford,Focus,1992
Y7129Y50RUS,1,16000.0,Ford,Focus,2000
C313MM99RUS,1,7500.0,Toyota,Camry,1984
8611T8154RUS,1,1000.0,Ford,Focus,1982
X763HY197RUS,2,9500.0,Ford,Focus,1996
M386M9197RUS,2,5800.0,Volkswagen,Golf,2011
8605T8154RUS,1,1000.0,Ford,Focus,1987
O22297197RUS,1,8594.5864661654,Ford,Focus,1999
7147OE161RUS,1,500.0,Ford,Focus,1989
O134HE197RUS,2,7600.0,Ford,Focus,1990
7361C8197RUS,1,1600.0,Ford,Focus,2002
Y359EY197RUS,2,3000.0,Skoda,Octavia,2010
T6559O50RUS,1,4000.0,Ford,Focus,2013
E53277152RUS,1,500.0,Ford,Focus,1993
X015HY197RUS,1,8000.0,Toyota,Corolla,1999
9469EX178RUS,2,2100.0,Ford,Focus,2001
Y6839Y50RUS,2,3000.0,Ford,Focus,1996
H237YH197RUS,1,600.0,Ford,Focus,1993
T948OM96RUS,1,2000.0,Ford,Focus,1986
T395KX197RUS,2,15200.0,Ford,Focus,2013
M301CH161RUS,1,8000.0,Ford,Focus,2010
M581CH197RUS,1,100.0,Ford,Focus,2006
E79988152RUS,1,1500.0,Ford,Focus,1991
9496KX178RUS,1,500.0,Ford,Focus,2008
T6319O50RUS,2,8594.5864661654,Ford,Focus,1994
H305T8197RUS,1,28100.0,Ford,Focus,2009
8201XX154RUS,2,2600.0,Ford,Focus,2000
O64297197RUS,1,300.0,Ford,Focus,2005
9523M8178RUS,1,600.0,Skoda,Octavia,2002
Y273O8197RUS,2,52600.0,Ford,Focus,2011
T6229O50RUS,2,2500.0,Ford,Focus,1999
9943KK197RUS,2,19800.0,Ford,Focus,1995
X023HY197RUS,2,10200.0,Volvo,,1993
8226XX154RUS,2,1000.0,Ford,Focus,1987
Y038TO197RUS,1,7600.0,Toyota,Corolla,2017
M0289X197RUS,2,40600.0,Ford,Focus,1980
E811HE77RUS,2,7000.0,Ford,Focus,1998
X795O796RUS,1,2000.0,Ford,Focus,1985
O39997197RUS,1,9000.0,Ford,Focus,1995
97968K152RUS,2,500.0,Ford,Focus,2011
K339T8197RUS,2,8594.5864661654,Ford,Focus,1985
H219X836RUS,1,1600.0,Ford,Focus,1986
T6169O50RUS,1,500.0,Ford,Focus,2010
Y352O8197RUS,2,25900.0,Ford,Focus,2006
94178K154RUS,1,500.0,Ford,Focus,2000
7365C8197RUS,2,6900.0,Ford,Focus,1988
9467EX178RUS,2,3700.0,Ford,Focus,2019
O78097197RUS,2,1400.0,Ford,Focus,1994
X5707X161RUS,2,500.0,Volkswagen,Passat,1999
Y232E877RUS,2,5000.0,Ford,Focus,1989
Y388E877RUS,2,19000.0,Ford,Focus,2015
X255HE161RUS,1,400.0,Ford,Focus,2012
E552MO152RUS,1,8594.5864661654,Ford,Focus,2007
97998K152RUS,2,6300.0,Ford,Focus,1983
Y963O8197RUS,2,21600.0,Ford,Focus,1999
Y778EE197RUS,2,168000.0,Volkswagen,Golf,2018
T654HT96RUS,2,2000.0,Toyota,Corolla,2005
T477KX197RUS,2,94000.0,Ford,Focus,1987
T2639T116RUS,1,3000.0,Ford,Focus,2009
O49797197RUS,2,5300.0,Ford,Focus,1989
O83597197RUS,2,8000.0,Ford,Focus,1989
H387TM197RUS,2,3200.0,Volkswagen,Passat,1981
O68897197RUS,1,8200.0,Ford,Focus,2005
72457Y96RUS,1,900.0,Ford,Focus,2013
7064C8197RUS,1,12800.0,Volkswagen,Passat,1980
E948C8152RUS,2,6000.0,Ford,Focus,1992
C514X938RUS,2,8594.5864661654,Ford,Focus,1995
C589EY154RUS,1,4500.0,Ford,Focus,2007
K899T8197RUS,2,15400.0,Ford,Focus,1991
T6418M116RUS,2,24600.0,Ford,Focus,2016
8607XX154RUS,2,2400.0,Skoda,Octavia,2016
92778M178RUS,2,3000.0,Ford,Focus,1990
T288CT96RUS,1,4500.0,Ford,Focus,2015
9886HX152RUS,2,2900.0,Ford,Focus,2011
C583EY154RUS,1,1000.0,Ford,Focus,1983
7788KT197RUS,1,20000.0,Ford,Focus,2008
T016OX197RUS,2,9600.0,Toyota,Corolla,1992
T6419O50RUS,2,27000.0,Ford,Focus,1992
C592EY154RUS,1,1000.0,Ford,Focus,2004
T6459O50RUS,1,2000.0,Ford,Focus,2010
Y356O8197RUS,2,8594.5864661654,Ford,Focus,1988
X759HY197RUS,2,12500.0,Ford,Focus,1982
705787163RUS,1,100.0,Ford,Focus,2000
Y973O8197RUS,1,69600.0,Ford,Focus,2013
92898M178RUS,1,1600.0,Ford,Focus,1994
9671EC178RUS,1,600.0,Ford,Focus,2003
M302CH161RUS,1,500.0,Ford,Focus,1996
X023HY197RUS,2,6800.0,Volvo,,2016
M578CH197RUS,2,9000.0,Ford,Focus,1999
O77997197RUS,2,5600.0,Ford,Focus,2007
7368C8197RUS,2,8800.0,Ford,Focus,2013
9683EC178RUS,2,6500.0,Ford,Focus,1991
Y207O8161RUS,1,500.0,Ford,Focus,2017
96659X178RUS,1,2700.0,Ford,Focus,2004
T912CT197RUS,2,19800.0,Toyota,Camry,2018
7183TT36RUS,2,16200.0,Ford,Focus,1990
89557X197RUS,2,22400.0,Toyota,Camry,2008
E773EH197RUS,2,8594.5864661654,Ford,Focus,2019
Y359O8197RUS,1,2000.0,Ford,Focus,1995
K2817K154RUS,1,4500.0,Ford,Focus,1980
X758HY197RUS,2,145200.0,Ford,Focus,2003
Y964O8197RUS,1,1000.0,Ford,Focus,2015
H967HY161RUS,2,4500.0,Ford,Focus,1987
E394MO152RUS,2,10500.0,Ford,Focus,1992
O50699163RUS,1,1100.0,Ford,Focus,2016
9463EX178RUS,1,1400.0,Ford,Focus,2007
E53677152RUS,2,5500.0,Ford,Focus,1997
K338T8197RUS,2,17400.0,Ford,Focus,2009
Y4298M777RUS,2,2000.0,Skoda,Octavia,2000
Y687HM197RUS,1,8594.5864661654,BMW,,2017
8311XX154RUS,2,4300.0,Ford,Focus,2004
98037H178RUS,2,2500.0,Ford,Focus,2002
7828C8197RUS,2,6700.0,Ford,Focus,1987
H980HY161RUS,2,1800.0,Ford,Focus,1999
H906YK197RUS,1,12000.0,Ford,Focus,2012
7199MT197RUS,1,9300.0,Volkswagen,Golf,1982
X908XC197RUS,2,46000.0,Volkswagen,Jetta,2007
T171CC96RUS,2,2000.0,Ford,Focus,1981
X4108H125RUS,2,1300.0,Ford,Focus,2002
Y966O8197RUS,2,10400.0,Ford,Focus,1998
K2797K154RUS,2,2400.0,Ford,Focus,1987
7089H8163RUS,2,4400.0,Toyota,Corolla,1988
9883HX152RUS,1,500.0,Ford,Focus,2017
7841C8197RUS,1,12000.0,Ford,Focus,2018
9940KK197RUS,1,8594.5864661654,Ford,Focus,2013
H224X836RUS,2,7000.0,Ford,Focus,1987
H971HY161RUS,2,7400.0,Ford,Focus,1994
M0269X197RUS,2,20600.0,Ford,Focus,1993
E316EH197RUS,1,1300.0,Volkswagen,Touareg,1980
X257HE161RUS,1,5000.0,Ford,Focus,1993
H844YH197RUS,2,3000.0,Ford,Focus,2019
9523M8178RUS,2,300.0,Skoda,Octavia,1989
E33477152RUS,1,500.0,Ford,Focus,1996
Y156E877RUS,2,7500.0,Ford,Focus,1993
E396MO152RUS,2,3000.0,Ford,Focus,2001
E0697X152RUS,2,8594.5864661654,Skoda,Octavia,2015
Y969O8197RUS,1,15600.0,Ford,Focus,2010
9028CO161RUS,1,1500.0,Ford,Focus,1991
7840C8197RUS,2,3500.0,Ford,Focus,1997
T6249O50RUS,2,8500.0,Ford,Focus,1980
E53677152RUS,2,11000.0,Ford,Focus,2014
E42377152RUS,2,3000.0,Ford,Focus,2009
9941KK197RUS,1,800.0,Ford,Focus,1986
E28877161RUS,1,500.0,Ford,Focus,2002
M0299X197RUS,2,19200.0,Ford,Focus,1993
M372CH197RUS,1,21600.0,Ford,Focus,1980
K040CC197RUS,2,3600.0,Ford,Focus,1980
E41577152RUS,2,3000.0,Ford,Focus,1994
9763HY161RUS,1,900.0,Ford,Focus,2017
T535ET96RUS,2,3000.0,Ford,Focus,2018
92918M178RUS,2,7600.0,Ford,Focus,2002
Y655E8750RUS,1,2600.0,Skoda,Octavia,1987
K2797K154RUS,1,8594.5864661654,Ford,Focus,1989
K559KC161RUS,1,200.0,Ford,Focus,2011
7369C8197RUS,2,10100.0,Ford,Focus,1984
8321XX154RUS,1,200.0,Ford,Focus,2014
O134HE197RUS,2,11400.0,Ford,Focus,2010
H961HY161RUS,2,2500.0,Ford,Focus,2006
M2169X197RUS,2,3100.0,Ford,Focus,1998
707987163RUS,1,1100.0,Ford,Focus,2009
8234XX154RUS,1,1300.0,Ford,Focus,1990
X759HY197RUS,1,37500.0,Ford,Focus,2000
O83697197RUS,2,6100.0,Ford,Focus,1999
92918M178RUS,1,1900.0,Ford,Focus,1995
92928M178RUS,1,1200.0,Ford,Focus,1981
E52677152RUS,2,2500.0,Ford,Focus,2013
8451M7154RUS,1,500.0,Ford,Focus,2003
9589EY178RUS,1,8594.5864661654,Ford,Focus,1994
H907YK197RUS,2,7100.0,Ford,Focus,1992
O39897197RUS,2,3800.0,Ford,Focus,1998
M3879X197RUS,2,6300.0,Volkswagen,Touareg,2001
C299K9154RUS,1,500.0,Ford,Focus,2014
M0299X197RUS,1,9600.0,Ford,Focus,1994
8437XX154RUS,2,800.0,Ford,Focus,2017
9468EX178RUS,1,4000.0,Ford,Focus,2016
M375CH197RUS,2,18100.0,Ford,Focus,1982
H982HY161RUS,1,300.0,Ford,Focus,1992
8201XX154RUS,1,7800.0,Ford,Focus,2019
8224XX154RUS,1,2500.0,Ford,Focus,2011
O22397197RUS,1,18500.0,Ford,Focus,2008
Y653E8750RUS,1,500.0,Skoda,Octavia,1995
K558KC161RUS,1,500.0,Ford,Focus,1982
O058M7161RUS,1,1900.0,Ford,Focus,2013
M256OH161RUS,2,1600.0,Ford,Focus,2004
7183TT36RUS,2,5400.0,Ford,Focus,2014
T242H8197RUS,2,8594.5864661654,Skoda,Octavia,1994
K27188138RUS,1,2000.0,Ford,Focus,2008
X782CO96RUS,1,1000.0,Ford,Focus,2014
Y7659C197RUS,1,1500.0,Ford,Focus,1984
X523OM161RUS,1,400.0,Ford,Focus,2014
96629X178RUS,1,7000.0,Ford,Focus,2005
9881HX152RUS,2,10300.0,Ford,Focus,1985
9020YC197RUS,2,72500.0,Skoda,Octavia,1993
T479KX197RUS,2,12000.0,Ford,Focus,1998
M680T9152RUS,2,9000.0,Volkswagen,Jetta,2010
7831C8197RUS,2,6800.0,Ford,Focus,1995
7844C8197RUS,2,17000.0,Ford,Focus,2005
T011MY163RUS,2,4000.0,Ford,Focus,1999
C410X938RUS,1,1100.0,Ford,Focus,1993
X762HY197RUS,1,500.0,Ford,Focus,1988
9470EX178RUS,1,500.0,Ford,Focus,1993
X4128H125RUS,2,8594.5864661654,Ford,Focus,1987
9762HY161RUS,2,2600.0,Ford,Focus,2018
H419XE197RUS,2,6900.0,Toyota,Corolla,1997
98017H178RUS,1,1500.0,Ford,Focus,2002
Y780EE197RUS,2,4600.0,Volkswagen,Golf,1990
M580CH197RUS,2,9500.0,Ford,Focus,1982
